                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.83584,                0.73946,                0.95786,                0.40746,                0.75049,                0.44218,                0.32305,                0.98053,                 1.8353,                 1.0418,              0.0006603,              0.0006603,              0.0006603
                     63,                0.83929,                0.71701,                0.96586,                0.46655,                0.78604,                0.49564,                 0.3494,                 1.0174,                 1.3409,                 1.0366,              0.0006438,              0.0006438,              0.0006438
                     64,                0.79877,                0.69835,                 0.9487,                 0.4376,                0.79957,                0.47041,                0.34174,                 1.0107,                 1.5261,                 1.0519,             0.00062729,             0.00062729,             0.00062729
                     65,                0.81084,                0.68944,                0.95464,                0.40706,                 0.7712,                0.45986,                0.33248,                0.96868,                 1.6479,                 1.0307,             0.00061079,             0.00061079,             0.00061079
                     66,                0.78408,                0.66541,                0.95139,                0.44835,                0.70477,                0.51518,                0.39217,                0.94871,                 1.6125,                 1.0294,             0.00059429,             0.00059429,             0.00059429
                     67,                0.80145,                0.64383,                0.96093,                0.43537,                 0.7587,                0.46554,                0.34518,                0.94484,                 1.5245,                 1.0246,             0.00057778,             0.00057778,             0.00057778
                     68,                0.81225,                0.67382,                0.96416,                0.47623,                0.71477,                0.47755,                0.35246,                 1.0179,                 1.4329,                 1.0469,             0.00056128,             0.00056128,             0.00056128
                     69,                0.80639,                0.64819,                0.95146,                0.43803,                  0.726,                0.51033,                0.37941,                0.96088,                 1.7882,                 1.0256,             0.00054478,             0.00054478,             0.00054478
                     70,                0.77321,                0.61731,                0.93585,                0.42861,                0.77694,                  0.473,                0.34656,                0.94358,                 1.6656,                 1.0205,             0.00052827,             0.00052827,             0.00052827
                     71,                0.78104,                0.63477,                0.95637,                0.43545,                0.74986,                0.51918,                0.38781,                0.95566,                 1.6895,                 1.0398,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77379,                0.62309,                0.95164,                0.45972,                0.78407,                0.51317,                0.37466,                0.97895,                  1.435,                  1.041,             0.00049527,             0.00049527,             0.00049527
                     73,                0.78386,                0.62491,                0.94055,                0.43516,                 0.7587,                0.49302,                0.35753,                 0.9723,                 1.4746,                 1.0547,             0.00047876,             0.00047876,             0.00047876
                     74,                0.77375,                0.62361,                0.93971,                0.42878,                0.77654,                0.48568,                0.35413,                0.96598,                  1.527,                 1.0275,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78299,                0.62911,                0.94688,                0.41271,                 0.7297,                0.45138,                0.32343,                0.98752,                 1.5034,                  1.047,             0.00044576,             0.00044576,             0.00044576
                     76,                0.77811,                0.59598,                0.94234,                0.45906,                0.70999,                0.48166,                0.35407,                 0.9773,                 1.5169,                 1.0441,             0.00042925,             0.00042925,             0.00042925
                     77,                0.74151,                0.58703,                0.93512,                 0.4476,                0.74571,                0.52636,                0.38932,                0.96466,                 1.4827,                 1.0321,             0.00041275,             0.00041275,             0.00041275
                     78,                0.75274,                0.56357,                0.93967,                0.45989,                0.73715,                0.51597,                0.37604,                0.97299,                 1.5816,                 1.0533,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77325,                0.58861,                0.95058,                0.42225,                0.71776,                0.50401,                0.36937,                 0.9761,                 1.6994,                 1.0622,             0.00037974,             0.00037974,             0.00037974
                     80,                0.73726,                0.55483,                0.93133,                0.43184,                0.75203,                0.45662,                0.33931,                0.99468,                  1.534,                  1.061,             0.00036324,             0.00036324,             0.00036324
                     81,                0.72816,                0.54328,                0.92796,                0.44388,                0.75545,                0.49533,                0.36702,                 0.9838,                 1.5658,                 1.0515,             0.00034674,             0.00034674,             0.00034674
                     82,                0.75959,                0.56907,                0.94187,                0.43704,                0.75387,                0.47909,                0.35669,                0.94612,                 1.5189,                 1.0307,             0.00033023,             0.00033023,             0.00033023
                     83,                0.73341,                0.54669,                0.93491,                0.44128,                0.70368,                0.50778,                 0.3718,                0.99045,                 1.8025,                 1.0544,             0.00031373,             0.00031373,             0.00031373
                     84,                0.72602,                 0.5305,                 0.9312,                0.47785,                0.65702,                0.50996,                0.37697,                0.97121,                 1.5782,                 1.0368,             0.00029723,             0.00029723,             0.00029723
                     85,                0.77025,                0.53447,                0.94026,                0.42576,                0.74937,                 0.5084,                0.36794,                0.98057,                 1.6344,                  1.057,             0.00028072,             0.00028072,             0.00028072
                     86,                0.73647,                0.54458,                0.94126,                  0.444,                0.74048,                 0.5104,                  0.379,                0.99652,                 1.7163,                  1.057,             0.00026422,             0.00026422,             0.00026422
                     87,                0.73634,                0.53008,                0.93319,                0.44923,                0.76694,                0.51765,                0.38537,                0.97204,                 1.5059,                 1.0498,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70819,                0.52177,                0.91849,                0.46133,                0.75246,                0.49241,                0.36548,                0.95549,                 1.6848,                 1.0324,             0.00023121,             0.00023121,             0.00023121
                     89,                0.70378,                0.52434,                0.91591,                 0.4365,                0.70343,                0.49937,                0.36765,                0.96867,                 1.8116,                 1.0445,             0.00021471,             0.00021471,             0.00021471
                     90,                0.72834,                0.50292,                0.93479,                0.47418,                 0.7351,                0.52033,                0.38483,                0.99492,                 1.6942,                  1.056,             0.00019821,             0.00019821,             0.00019821
                     91,                0.66446,                0.44668,                0.90385,                0.48199,                0.73272,                0.56553,                0.41185,                0.98246,                 1.5191,                 1.0462,              0.0001817,              0.0001817,              0.0001817
                     92,                0.63053,                 0.4049,                0.87782,                0.48983,                0.69761,                0.54895,                0.40063,                0.96806,                 1.6409,                 1.0521,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.6316,                0.40538,                0.87942,                0.49245,                0.69164,                0.54497,                0.39765,                0.96913,                 1.6153,                 1.0428,              0.0001487,              0.0001487,              0.0001487
                     94,                0.63588,                0.40269,                0.89711,                0.50515,                0.67503,                0.54303,                0.39341,                0.96994,                 1.6157,                 1.0436,             0.00013219,             0.00013219,             0.00013219
                     95,                0.62776,                0.38782,                0.88189,                0.47387,                0.71473,                0.54624,                 0.3973,                0.96825,                 1.5304,                 1.0454,             0.00011569,             0.00011569,             0.00011569
                     96,                0.61496,                0.38872,                0.87767,                0.47226,                0.75896,                0.54365,                0.40276,                0.96947,                 1.6405,                 1.0431,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.62146,                 0.3882,                0.88003,                0.45632,                0.72399,                0.51896,                0.38134,                 0.9754,                 1.6692,                 1.0493,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.62044,                0.38056,                0.88173,                0.46884,                0.71897,                0.53222,                0.38957,                0.97187,                 1.8058,                 1.0492,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.61485,                0.37557,                0.88167,                0.46059,                 0.7512,                0.53107,                0.39041,                0.96603,                 1.5987,                 1.0476,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.60214,                 0.3857,                0.87602,                0.46451,                0.74172,                0.52834,                0.38551,                0.96393,                 1.6047,                 1.0425,             3.3173e-05,             3.3173e-05,             3.3173e-05
